Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nail Your C++ Interview,"Applying for C++ programming jobs? Find out what questions to expect in your developer interview and how to answer them to demonstrate mastery of key concepts. Erin Colvin explores the kinds of questions you can anticipate in a typical interview, including topics such as the advantages of object-oriented programming and a review of the inner workings of several core data types. Dive into the nuances of how char values are stored in strings, learn how to find elements in an array, and discover how to use abstract data types such as linked lists, stacks, and queues to solve challenges. Plus, learn how to spot and explain the differences between C and C++ and answer technical questions related to classes. Along the way, Erin offers candid career advice based on her years of experience working as a developer, certified ethical hacker, and computer science instructor.",Course,2020-10-06 02:46 UTC,N/A,false,N/A,
Certified Analytics Professional (CAP) Cert Prep: Domains 1–4,"In the information age, companies need skilled professionals who can glean useful intelligence from troves of data. These data science roles can be challenging, rewarding, and lucrative. If you're interested in pursuing a career in this growing field, then the Certified Analytics Professional (CAP) certification may be right for you. In this course, Jungwoo Ryoo provides an expedited overview of each of the first four domains in the CAP exam, helping you get up to speed with some of the core data science concepts covered on the test. After going over the history of CAP and related certifications, he dives into domains 1–4: Business Problem Framing, Analytics Problem Framing, Data, and Methodology.",Course,2021-04-28 10:12 UTC,N/A,false,N/A,
Developing Assertive Leadership,"Being an assertive leader unlocks the ability to express yourself freely while improving the function of your team. In this course, leadership expert Audrey Daniels explores how to embody the behaviors of an assertive leader and put your newfound assertiveness into action. Listeners can learn how to balance leadership and emotional intelligence, communicate with tact, and keep all messages clear and concise. Additionally, Audrey explores how to maintain influence and integrity without relinquishing authority.<br><br>

<br><br>This audio-only course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2020-04-24 18:02 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis,"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database; you'll be able to manipulate it: merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2020-05-01 08:17 UTC,N/A,false,N/A,
C++: Move Semantics,"Dive deeper into C++ with move semantics, a key component of C++ resource management. Move semantics allow you to optimize the transfer of data and reallocate memory without extra copy operations. In this course, Bill Weinman helps you understand rvalues (temporary values that are the key to move semantics); create move constructors and operations; and use the copy-and-swap idiom to ""swap in"" new data while destroying the old.",Course,2020-03-31 09:58 UTC,N/A,false,N/A,
Processing: Interactive Data Visualization,"Start communicating ideas and diagramming data in a more interactive way. In this course, author Barton Poulson shows how to read, map, and illustrate data with Processing, an open-source drawing and development environment. On top of a solid introduction to Processing itself, this course investigates methods for obtaining and preparing data, designing for data visualization, and building an interactive experience out of a design. When your visualization is complete, explore the options for sharing your work, whether uploading it to specialized websites, embedding the visualizations in your own web pages, or even creating a desktop or Android app for your work.",Course,2020-04-06 19:50 UTC,N/A,false,N/A,
JavaScript and JSON: Integration Techniques,"JavaScript Object Notation (JSON) has replaced XML as the core way of sharing data, especially when it comes to JavaScript, since it's so much faster, sleeker, and easier to parse. In this course, dive into working with JSON tools, designing JSON objects, and using different ways to handling JSON data. Author Ray Villalobos also shows how to use AJAX and jQuery to parse your data and feeds, and shows JavaScript and JSON in action in a real-world practical application.",Course,2019-07-22 05:47 UTC,N/A,false,N/A,
"Docker Essential Training: 3 Image Creation, Management, and Registry","Images are the foundation of Docker containers. They are key to building robust container-based applications—and passing the Docker Certified Associate (DCA) exam. This course covers Docker image creation and management, Docker registries, and important tips to prepare for the DCA exam. Instructor David Davis explains exactly what Docker images are and how they help you. He shows how to use Dockerfiles to build images, how to store and distribute images with Docker registries, and how to use tagging to describe images and implement version control. As you learn, you can practice topics from domain two of the DCA certification exam: Image Creation, Management, and Registry.",Course,2020-12-17 09:28 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business ,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-10-09 03:45 UTC,N/A,false,N/A,
Python: Data Analysis (2015),"If you're going to work with big data, you'll probably be using R or Python. And if you're using Python, you'll be definitely using Pandas and NumPy, the third-party packages designed specifically for data analysis. This course provides an opportunity to learn about them. Michele Vallisneri shows how to set up your analysis environment and provides a refresher on the basics of working with data containers in Python. Then he jumps into the big stuff: the power of arrays,  indexing, and DataFrames in NumPy and Pandas. He also walks through two sample big-data projects: one using NumPy to analyze weather patterns and the other using Pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned.",Course,2020-04-24 13:44 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists (2017),"There is an increasing need for data scientists and analysts to understand relational data stores. Organizations have long used SQL databases to store transactional data as well as business intelligence related data. If you need to work with SQL databases, this course is designed to help you learn how to perform common data science tasks, including finding, exploration, and extraction within relational databases.
<br><br>
The course begins with a brief overview of SQL. Then the five major topics a data scientist should understand when working with relational databases: basic statistics in SQL, data preparation in SQL, advanced filtering and data aggregation, window functions, and preparing data for use with analytics tools.",Course,2020-04-03 16:48 UTC,N/A,false,N/A,
Django: Forms,"Most websites require the use of forms to receive data from users, so it is crucial to know how to safely collect and handle data while maintaining a user-friendly experience on your website. In this course, learn how to use Django to create forms from scratch. Instructor Nick Walter also explains how to deploy forms to your site, access stored data, leverage submitted form data, work with widgets, customize formsets, and more.",Course,2021-05-28 18:09 UTC,N/A,false,N/A,
Customer Service Using AI and Machine Learning,"Artificial intelligence (AI) is changing the way every company does business—and it’s revolutionizing customer service. The ability not only to automate certain tasks, but also to use AI to prequalify and direct the customer service queue is a massive time-saver. This course explores the groundbreaking new solutions powered by this emerging tech. Customer service consultant David Kay reviews tools you can buy off the shelf—such as chatbots and customer interaction analysis—as well as custom-developed applications that can provide more targeted business benefit. He also explains how to effectively plan and deploy AI and machine learning-based solutions. Using these insights, you can help your service organization thrive in the era of the AI revolution.",Course,2020-04-17 04:48 UTC,N/A,false,N/A,
Machine Learning with Scikit-Learn,"The ability to apply machine learning algorithms is an important part of a data scientist’s skill set. scikit-learn is a popular open-source Python library that offers user-friendly and efficient versions of common machine learning algorithms. In this course, data scientist Michael Galarnyk explains how to use scikit-learn for supervised and unsupervised machine learning. Michael reviews the benefits of this easy-to-use API and then quickly segues to practical techniques, starting with linear and logistic regression, decision trees, and random forest models. In chapter three, he covers unsupervised learning techniques such as K-means clustering and principal component analysis (PCA). Plus, learn how to create scikit-learn pipelines to make your code cleaner and more resilient to bugs. By the end of the course, you'll be able to understand the strengths and weaknesses of each scikit-learn algorithm and build better, more efficient machine learning models.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-02-22 08:47 UTC,N/A,true,N/A,
Having an Honest Career Conversation with Your Boss,"To get what you want, you need to ask. Dialog is what opens doors. If you're at the place in your career where you need to have a truthful conversation about what comes next, this is the course for you. Personal branding expert Lida Citroën helps you prepare to have an honest career conversation with your boss. She helps you navigate common career conversation topics such as asking for a promotion, requesting additional training, or confessing a potential career-ending mistake. Learn how to request, prepare for, and lead the conversation, and keep the meeting focused and professional-even if your request is denied.",Course,2020-05-01 08:18 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-08 09:04 UTC,N/A,false,N/A,
WordPress: Building Child Themes (2015),"To get a specific look or feature on a WordPress site, you can customize the theme, but it will only get you so far. To go further and get full control, you need child themes. A WordPress child theme is a mini-theme that piggybacks off an existing theme. This means rather than writing all the code from scratch, you just write a new child of an original parent theme, updating only the parts you want.<br><br>

WordPress: Building Child Themes opens the world of child theme development to anyone, no matter what level of experience or expertise. It helps you build your child theme on top of an existing properly coded foundation, and create stylish new WordPress sites—without the advanced knowledge of a web developer. Morten Rand-Hendriksen explains how to get started picking a parent theme, updating the CSS, creating a new template for your child theme, and updating its functionality. By the end of this practical, project-based course, you should have a functioning child theme and the skills to quickly customize your next WordPress site.",Course,2019-01-30 12:44 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-01-02 14:59 UTC,N/A,false,N/A,
Blockchain Basics,"We're on the precipice of a radical and disruptive new way of conducting all manner of transactions over the Internet. While still in its infancy, blockchain technology demands attention. In this introductory-level course, learn what blockchain is and what it might mean to you. Jonathan Reichental—named one of the world's top 100 CIOs in 2017—dives into blockchain technology from a conceptual perspective. The course is primarily non-technical by design, intended for those working in business leadership positions, data science, and IT management.<br><br>

Jonathan begins by describing some of the current challenges with the Internet, including existing risks and security problems such as identity management. Next, he describes how traditional online databases function, so that you have a basis for how the blockchain redesigns this function. He then describes how the blockchain becomes a potential solution for many of the existing limitations of online databases. Since the blockchain has its genesis in Bitcoin—the digital currency—he provides some background on that too. He also discusses how blockchain technology actually offers new capabilities beyond simply solving old problems. To wrap up the course, Jonathan shares steps you can take in your organization to understand the implications of the blockchain.",Course,2021-05-06 05:15 UTC,N/A,false,N/A,
Reinforcement Learning Foundations,"Innovations in finance, health, robotics, and a variety of other sectors have been made possible with reinforcement learning (RL), which involves the training of machines to learn from their environment. Many top tech companies are investing heavily in this field. In this course, instructor Khaulat Abdulhakeem helps you learn the basics of this relatively new, but valuable skill. Get to know the key terminology used in RL, how RL plays a major role in the advancement of AI, and the kinds of problems you can use RL to solve. Khaulat shows you how to define and represent reinforcement learning problems. She also delves into RL algorithms, including the Monte Carlo and temporal difference methods. Plus, she explores deep and multi-agent RL, as well as how inverse learning works and how it can help agents learn by imitation.",Course,2021-01-25 10:38 UTC,N/A,false,N/A,
jQuery for Web Designers,"JavaScript is the programming language of the web. But some problems are a little difficult to solve using 100% pure JavaScript. jQuery closes most of the gaps, and does it so well that a huge number of developers now use jQuery to create some of the coolest front-end plugins around. This course will help web designers learn how to use jQuery's core library and plugins to create richer, more usable sites—faster and more efficiently than with JavaScript alone. It features real-world examples and some easily learned best practices, while covering jQuery basics such as functions, classes, event binding, and data manipulation. Author and developer Joe Chellman shows how to install and customize popular plugins and offers some compelling use cases for jQuery-based (vs. CSS-based) animation.",Course,2019-02-25 11:07 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2020-05-23 20:09 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-09-26 01:28 UTC,N/A,false,N/A,
"Advanced SAS Programming for R Users, Part 1","SAS is one of the most used data analytics platforms in the world. Enhance your programming skillset by learning how to apply your understanding of R— the language of big data—in the SAS environment at an advanced level. Instructor Jordan Bakerman covers several different advanced techniques for analyzing data via inferential procedures. Learn about linear regression with PROC REG, estimating linear combinations with the general linear model procedure, mixed models and the MIXED procedure, and more.<br><br>

Note: You can visit the <a href=""https://www.sas.com/en_us/software/university-edition.html""_blank"">SAS site</a> to obtain a copy of the software, and use the company's online data sets to do the course exercises.",Course,2020-10-30 08:39 UTC,N/A,false,N/A,
SQL Essential Training,"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2021-04-22 06:55 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2021-02-05 13:06 UTC,N/A,false,N/A,
Python for Data Science Essential Training,"By using Python to glean value from your raw data, you can simplify the often complex journey from data to value. In this practical, hands-on course, learn how to use Python for data preparation, data munging, data visualization, and predictive analytics. Instructor Lillian Pierson, P.E. covers the essential Python methods for preparing, cleaning, reformatting, and visualizing your data for use in analytics and data science. She helps to provide you with a working understanding of machine learning, as well as outlier analysis, cluster analysis, and network analysis. Plus, Lillian explains how to create web-based data visualizations with Plot.ly, and how to use Python to scrape the web and capture your own data sets.",Course,2019-05-02 09:03 UTC,N/A,false,N/A,
Become a Data Analyst,"Data analysts examine information using data analysis tools and help their teams develop insights and business strategies. You’ll need skills in math, statistics, communications, and working with tools designed to do data analytics and data visualization. Explore this high-demand career.",Learning Path,2020-08-15 09:21 UTC,N/A,false,N/A,
Master In-Demand Professional Soft Skills,"What does every hiring manager look for in an employee? Set yourself apart from the pack by getting the essential soft skills--abilities that help people interact effectively with others--that employers value most, from communication fundamentals and being a team player to advancing your critical thinking skills.",Learning Path,2020-08-15 09:23 UTC,N/A,false,N/A,
Become a Software Developer,"Get an introduction to the programming skills needed for a career as a software developer. This learning path provides a broad perspective on core technologies for web development, software development, and databases. It introduces common tools and the bigger picture of how development careers work.",Learning Path,2021-01-02 14:59 UTC,N/A,false,N/A,
Become a Financial Analyst,"A financial analyst evaluates current and historical economic and business data to identify trends that influence business decisions. Gain the skills that make a successful financial analyst, including understanding financial statements, working with economic data, and analytical analysis skills.",Learning Path,2020-08-15 09:22 UTC,N/A,false,N/A,
Finding a Job during Challenging Economic Times,"Whether you've been laid off or had your hours reduced, learn strategies for finding a job during challenging economic times. Discover how to create a recovery plan, cultivate resilience, explore career options, update your resume, network virtually, and improve your job search and interview skills.",Learning Path,2020-08-15 09:23 UTC,N/A,false,N/A,
Become a Digital Marketing Specialist,"Use your analytical and tactical skills to help grow and develop new opportunities for businesses as a digital marketing specialist. From marketing plans and content strategy to SEO and analytics, this path guides you through the best practices and principles of digital marketing.",Learning Path,2020-08-15 09:22 UTC,N/A,false,N/A,
